228,124,60,1
192,104,80,1
236,128,84,1
244,76,44,3
204,128,116,1
224,128,48,1
252,164,164,3
192,32,40,1
244,24,0,24
204,84,80,2
208,24,16,6
244,52,36,17
212,116,84,1
168,48,36,1
248,128,8,2
228,36,20,7
128,32,20,1
244,224,224,7
240,8,4,8
176,56,40,2
252,104,4,87
220,88,44,1
244,168,112,1
228,108,12,1
232,72,68,1
220,100,8,1
240,160,92,1
236,196,48,1
252,224,200,1
196,52,0,1
248,56,0,5
232,16,12,10
236,204,172,1
248,32,24,21
252,180,124,2
252,100,80,20
248,236,232,11
192,40,32,3
200,152,156,1
252,128,48,2
208,20,24,1
172,92,80,1
248,184,28,2
204,32,28,2
244,212,208,2
252,144,72,1
224,120,52,1
200,64,56,1
216,60,56,2
224,76,8,1
236,100,48,1
184,76,72,2
244,96,8,1
180,44,60,1
156,24,12,1
232,44,40,6
240,216,212,5
252,132,32,1
172,44,16,2
208,60,0,1
196,56,40,1
240,128,104,2
220,168,152,1
232,28,28,2
252,196,84,2
244,64,44,5
240,220,192,1
188,56,56,1
212,136,132,3
208,64,64,2
244,108,104,1
252,144,24,9
228,104,100,2
152,52,40,1
228,68,64,4
224,176,176,1
228,188,4,1
240,164,0,1
248,56,24,7
248,188,124,1
236,84,72,2
240,220,224,1
244,140,64,1
252,88,16,24
200,24,24,4
232,124,120,1
224,168,164,4
252,36,20,248
224,28,32,1
252,136,84,1
248,152,28,2
248,224,4,4
240,152,36,1
184,32,16,2
252,220,220,5
252,96,40,1
232,60,64,2
252,164,0,304
232,216,100,1
208,48,32,3
248,248,168,1
228,172,64,1
172,64,0,1
204,88,84,2
224,60,0,2
208,36,20,9
244,40,32,10
248,136,0,21
248,164,64,1
244,104,24,1
232,188,52,1
240,32,44,3
168,72,64,2
176,100,88,1
216,184,184,1
240,20,0,18
228,212,40,1
236,68,0,2
184,64,60,1
248,104,44,1
204,20,8,2
192,44,12,1
224,128,16,1
232,68,64,2
252,128,56,3
248,240,224,3
196,84,88,1
236,200,52,1
236,204,204,7
252,236,4,73
252,64,76,2
248,224,208,1
232,44,8,4
248,184,120,1
244,84,0,5
224,72,8,1
244,108,68,1
228,184,164,1
216,184,8,1
252,132,60,1
240,152,120,1
188,64,12,1
252,208,92,2
224,100,16,1
244,224,16,2
236,56,52,5
208,180,180,2
188,40,20,1
208,148,96,1
212,44,36,1
236,104,52,1
184,72,68,1
192,152,84,1
252,20,24,17
248,108,0,9
196,60,36,1
252,224,20,1
176,28,24,1
232,24,16,4
236,148,108,1
196,80,72,2
252,148,20,12
204,64,4,1
248,232,220,2
248,216,196,1
240,100,8,2
252,56,60,16
200,148,40,1
160,56,40,1
240,72,44,3
176,56,36,1
248,148,44,1
248,136,104,1
252,112,40,3
200,32,0,1
212,128,8,1
240,228,28,3
240,224,180,1
252,200,136,1
240,204,168,1
240,200,24,1
252,40,16,106
212,52,32,3
232,80,52,2
252,240,60,1
224,196,40,1
240,152,128,1
212,20,8,8
248,36,48,1
252,196,168,1
244,68,20,3
252,168,4,89
248,248,244,3
252,180,64,1
232,208,0,2
204,32,16,5
