6.0,4,True
216,108,24,255
252,176,84,223
188,32,32,21
240,84,60,36
252,8,16,255
252,152,16,255
216,140,128,64
240,100,108,255
240,228,228,5
240,96,4,255
236,152,64,255
224,40,16,255
248,224,88,64
244,132,88,85
204,44,20,255
164,24,16,43
220,28,24,255
240,128,36,255
240,56,76,23
192,44,16,255
244,220,0,242
228,104,24,255
244,128,40,255
220,40,36,146
252,64,8,255
236,224,148,28
240,204,204,9
240,212,28,255
252,44,44,177
236,52,8,255
252,240,144,43
244,128,52,255
176,32,12,128
252,116,16,255
252,252,144,5
220,168,24,255
220,172,136,5
248,32,12,255
236,140,64,255
172,28,20,5
252,244,92,64
252,172,56,255
252,252,196,0
160,48,28,128
244,20,20,213
248,204,92,85
224,36,24,255
248,196,80,191
248,212,204,4
244,32,40,36
248,156,120,128
244,248,100,85
228,144,88,255
208,108,92,255
228,144,92,255
248,192,80,191
220,68,36,255
236,80,56,28
240,124,76,255
212,136,36,255
240,28,8,255
224,168,8,255
248,228,72,255
224,160,164,14
184,48,36,64
228,216,212,1
240,192,44,255
216,8,4,255
252,112,68,204
236,40,32,255
196,20,16,255
192,32,48,1
216,48,36,113
236,192,104,43
248,88,16,255
188,60,52,191
232,112,28,255
220,112,116,85
252,212,12,191
248,44,28,255
232,36,0,255
200,112,92,85
228,4,4,255
252,204,200,5
236,48,20,255
172,56,64,64
216,16,4,255
228,112,24,255
224,112,104,85
164,36,8,255
164,68,60,128
240,112,40,255
248,172,0,255
176,28,28,4
248,168,160,255
232,160,108,85
240,36,4,255
244,224,216,2
236,68,0,255
248,88,24,255
212,156,68,255
252,100,72,75
200,12,16,128
248,60,20,255
236,112,44,255
244,180,76,170
252,48,36,207
252,52,76,22
196,24,24,170
212,20,4,255
252,28,0,255
212,132,128,18
232,64,56,98
240,136,44,255
216,36,24,255
176,100,96,64
244,92,64,36
204,32,20,196
252,176,40,255
252,180,88,255
176,72,68,64
244,104,108,128
252,156,12,255
252,128,84,153
248,224,228,3
240,96,96,255
228,80,76,64
248,148,148,255
188,60,4,255
224,32,28,255
164,28,28,10
208,108,100,128
252,120,32,255
252,92,44,255
160,60,56,64
252,252,16,119
208,40,24,213
252,68,4,255
252,12,12,255
216,120,92,26
240,212,176,10
244,192,168,3
248,248,112,128
240,188,172,0
204,48,24,128
200,36,20,255
156,52,52,43
248,68,60,85
220,32,32,128
252,196,112,204
248,28,8,255
172,32,16,255
204,120,68,255
252,148,148,57
200,164,108,28
244,8,16,255
252,48,8,255
252,104,104,73
220,32,20,255
228,192,52,128
232,152,68,255
184,52,60,51
228,184,64,255
248,156,28,255
176,44,40,28
240,0,0,255
236,176,176,3
240,52,48,204
232,84,76,93
236,84,52,255
244,136,4,255
252,152,68,255
252,84,92,70
252,88,52,255
196,44,28,51
180,32,28,3
216,24,12,255
228,36,16,255
232,88,84,153
196,40,20,255
252,12,20,255
216,40,32,182
188,48,32,128
160,56,44,64
252,8,20,255
228,44,44,106
248,40,16,255
232,32,28,170
252,136,136,102
216,152,24,255
252,164,108,51
232,56,48,46
252,136,128,36
248,224,84,255
228,76,60,146
180,140,92,15
236,220,192,5
240,124,44,255
200,96,68,85
220,88,92,128
192,44,20,255
184,40,28,85
232,132,52,255
240,32,8,255
200,84,88,85
240,76,40,255
236,72,4,255
220,48,8,255
252,104,76,69
228,32,36,102
232,160,104,85
